bouzillés			bouzillé	VER	VER	m	p		0.05	0.05	0.05																									
boxées			boxé	VER	VER	f	p		0.05	0.05	0.05																									
braconnée			braconné	VER	VER	f	s		0.05	0.05	0.05																									
braillée			braillé	VER	VER	f	s		0.05	0.05	0.05																									
braillées			braillé	VER	VER	f	p		0.05	0.05	0.05																									
braillés			braillé	VER	VER	m	p		0.05	0.05	0.05																									
bramée			bramé	VER	VER	f	s		0.05	0.05	0.05																									
bramées			bramé	VER	VER	f	p		0.05	0.05	0.05																									
bramés			bramé	VER	VER	m	p		0.05	0.05	0.05																									
brancardées			brancardé	VER	VER	f	p		0.05	0.05	0.05																									
bravées			bravé	VER	VER	f	p		0.05	0.05	0.05																									
breakée			breaké	VER	VER	f	s		0.05	0.05	0.05																									
breakées			breaké	VER	VER	f	p		0.05	0.05	0.05																									
breakés			breaké	VER	VER	m	p		0.05	0.05	0.05																									
bredouillée			bredouillé	VER	VER	f	s		0.05	0.05	0.05																									
bredouillés			bredouillé	VER	VER	m	p		0.05	0.05	0.05																									
bridgée			bridgé	VER	VER	f	s		0.05	0.05	0.05																									
bridgées			bridgé	VER	VER	f	p		0.05	0.05	0.05																									
bridgés			bridgé	VER	VER	m	p		0.05	0.05	0.05																									
briguée			brigué	VER	VER	f	s		0.05	0.05	0.05																									
briguées			brigué	VER	VER	f	p		0.05	0.05	0.05																									
brigués			brigué	VER	VER	m	p		0.05	0.05	0.05																									
brillée			brillé	VER	VER	f	s		0.05	0.05	0.05																									
bringuebalées			bringuebalé	VER	VER	f	p		0.05	0.05	0.05																									
brocardées			brocardé	VER	VER	f	p		0.05	0.05	0.05																									
bronchée			bronché	VER	VER	f	s		0.05	0.05	0.05																									
bronchées			bronché	VER	VER	f	p		0.05	0.05	0.05																									
bronchés			bronché	VER	VER	m	p		0.05	0.05	0.05																									
broutés			brouté	VER	VER	m	p		0.05	0.05	0.05																									
bruitée			bruité	VER	VER	f	s		0.05	0.05	0.05																									
bruitées			bruité	VER	VER	f	p		0.05	0.05	0.05																									
bruités			bruité	VER	VER	m	p		0.05	0.05	0.05																									
brunchée			brunché	VER	VER	f	s		0.05	0.05	0.05																									
brunchées			brunché	VER	VER	f	p		0.05	0.05	0.05																									
brunchés			brunché	VER	VER	m	p		0.05	0.05	0.05																									
buchée			buché	VER	VER	f	s		0.05	0.05	0.05																									
buchées			buché	VER	VER	f	p		0.05	0.05	0.05																									
buchés			buché	VER	VER	m	p		0.05	0.05	0.05																									
budgétisée			budgétisé	VER	VER	f	s		0.05	0.05	0.05																									
budgétisées			budgétisé	VER	VER	f	p		0.05	0.05	0.05																									
budgétisés			budgétisé	VER	VER	m	p		0.05	0.05	0.05																									
bullée			bullé	VER	VER	f	s		0.05	0.05	0.05																									
bullées			bullé	VER	VER	f	p		0.05	0.05	0.05																									
bullés			bullé	VER	VER	m	p		0.05	0.05	0.05																									
butinées			butiné	VER	VER	f	p		0.05	0.05	0.05																									
butinés			butiné	VER	VER	m	p		0.05	0.05	0.05																									
buttées			butté	VER	VER	f	p		0.05	0.05	0.05																									
bâillée			bâillé	VER	VER	f	s		0.05	0.05	0.05																									
bâillées			bâillé	VER	VER	f	p		0.05	0.05	0.05																									
bâillés			bâillé	VER	VER	m	p		0.05	0.05	0.05																									
bâtonnée			bâtonné	VER	VER	f	s		0.05	0.05	0.05																									
bâtonnées			bâtonné	VER	VER	f	p		0.05	0.05	0.05																									
bâtée			bâté	VER	VER	f	s		0.05	0.05	0.05																									
bâtées			bâté	VER	VER	f	p		0.05	0.05	0.05																									
béatifiées			béatifié	VER	VER	f	p		0.05	0.05	0.05																									
béatifiés			béatifié	VER	VER	m	p		0.05	0.05	0.05																									
bégayée			bégayé	VER	VER	f	s		0.05	0.05	0.05																									
bégayées			bégayé	VER	VER	f	p		0.05	0.05	0.05																									
bégayés			bégayé	VER	VER	m	p		0.05	0.05	0.05																									
bénéficiée			bénéficié	VER	VER	f	s		0.05	0.05	0.05																									
béquetée			béqueté	VER	VER	f	s		0.05	0.05	0.05																									
béquetées			béqueté	VER	VER	f	p		0.05	0.05	0.05																									
béquetés			béqueté	VER	VER	m	p		0.05	0.05	0.05																									
béée			béé	VER	VER	f	s		0.05	0.05	0.05																									
béés			béé	VER	VER	m	p		0.05	0.05	0.05																									
bêchées			bêché	VER	VER	f	p		0.05	0.05	0.05																									
bêchés			bêché	VER	VER	m	p		0.05	0.05	0.05																									
bêlée			bêlé	VER	VER	f	s		0.05	0.05	0.05																									
bêlées			bêlé	VER	VER	f	p		0.05	0.05	0.05																									
bêlés			bêlé	VER	VER	m	p		0.05	0.05	0.05																									
bûchée			bûché	VER	VER	f	s		0.05	0.05	0.05																									
bûchées			bûché	VER	VER	f	p		0.05	0.05	0.05																									
cabrées			cabré	VER	VER	f	p		0.05	0.05	0.05																									
cafardées			cafardé	VER	VER	f	p		0.05	0.05	0.05																									
cafouillée			cafouillé	VER	VER	f	s		0.05	0.05	0.05																									
cafouillées			cafouillé	VER	VER	f	p		0.05	0.05	0.05																									
cafouillés			cafouillé	VER	VER	m	p		0.05	0.05	0.05																									
caftées			cafté	VER	VER	f	p		0.05	0.05	0.05																									
caguée			cagué	VER	VER	f	s		0.05	0.05	0.05																									
caguées			cagué	VER	VER	f	p		0.05	0.05	0.05																									
cagués			cagué	VER	VER	m	p		0.05	0.05	0.05																									
caillassée			caillassé	VER	VER	f	s		0.05	0.05	0.05																									
caillées			caillé	VER	VER	f	p		0.05	0.05	0.05																									
canardées			canardé	VER	VER	f	p		0.05	0.05	0.05																									
cancanée			cancané	VER	VER	f	s		0.05	0.05	0.05																									
cancanées			cancané	VER	VER	f	p		0.05	0.05	0.05																									
cancanés			cancané	VER	VER	m	p		0.05	0.05	0.05																									
candidatée			candidaté	VER	VER	f	s		0.05	0.05	0.05																									
candidatées			candidaté	VER	VER	f	p		0.05	0.05	0.05																									
candidatés			candidaté	VER	VER	m	p		0.05	0.05	0.05																									
cannibalisée			cannibalisé	VER	VER	f	s		0.05	0.05	0.05																									
cannibalisées			cannibalisé	VER	VER	f	p		0.05	0.05	0.05																									
cannée			canné	VER	VER	f	s		0.05	0.05	0.05																									
cannées			canné	VER	VER	f	p		0.05	0.05	0.05																									
canonisées			canonisé	VER	VER	f	p		0.05	0.05	0.05																									
canotée			canoté	VER	VER	f	s		0.05	0.05	0.05																									
canotées			canoté	VER	VER	f	p		0.05	0.05	0.05																									
canotés			canoté	VER	VER	m	p		0.05	0.05	0.05																									
capitalisée			capitalisé	VER	VER	f	s		0.05	0.05	0.05																									
capitalisées			capitalisé	VER	VER	f	p		0.05	0.05	0.05																									
capitulées			capitulé	VER	VER	f	p		0.05	0.05	0.05																									
